Rusia Caucásica;427-Rusia_Cauc%C3%A1sica;
Rusia, Imperio;393-Rusia_Imperio;
Saharaui, República Árabe Democrática;283-Saharaui_Rep%C3%BAblica_%C3%81rabe_Democr%C3%A1tica;
Salsburgo;2209-Salsburgo;
Samoa;185-Samoa;
Samoa Americana;4-Samoa_Americana;
San Bartolomé;279-San_Bartolom%C3%A9;
San Cristóbal y Nevis (Saint Kitts y Nevis);181-San_Crist%C3%B3bal_y_Nevis_Saint_Kitts_y_Nevis;
San Eustaquio;366-San_Eustaquio;
San Galo;2289-San_Galo;
San Marino;186-San_Marino;
San Martin;473-San_Martin;
San Pedro y Miquelón;183-San_Pedro_y_Miquel%C3%B3n;
San Vicente y las Granadinas;184-San_Vicente_y_las_Granadinas;
Santa Helena;180-Santa_Helena;
Santa Helena y Ascensión;293-Santa_Helena_y_Ascensi%C3%B3n;
Santa Lucía;182-Santa_Luc%C3%ADa;
Santo Tomé y Príncipe;187-Santo_Tom%C3%A9_y_Pr%C3%ADncipe;
Sarawak;303-Sarawak;
Sarre;420-Sarre;
Schwyz;2291-Schwyz;
Senegal;189-Senegal;
Serbia;245-Serbia;
Seychelles;190-Seychelles;
Sharjah;313-Sharjah;
Sierra Leona;191-Sierra_Leona;
Singapur;192-Singapur;
Sinzendorf;2203-Sinzendorf;
Sion;2292-Sion;
Siria;207-Siria;
Soleura;2293-Soleura;
Somalia;196-Somalia;
Somalilandia;251-Somalilandia;
Somalilandia francesa;291-Somalilandia_francesa;
Somalilandia Italiana;361-Somalilandia_Italiana;
Sprinzenstein;2204-Sprinzenstein;
Sri Lanka;200-Sri_Lanka;
Sudáfrica;197-Sud%C3%A1frica;
Sudán;201-Sud%C3%A1n;
Sudán del Sur;258-Sud%C3%A1n_del_Sur;
Suecia;205-Suecia;
Suiza;206-Suiza;
Surinam;202-Surinam;
Svalbard y Jan Mayen;203-Svalbard_y_Jan_Mayen;
Tailandia;211-Tailandia;
Taiwán;208-Taiw%C3%A1n;
Tannu Tuva;343-Tannu_Tuva;
Tanzania;210-Tanzania;
Tayikistán;209-Tayikist%C3%A1n;
Terranova;362-Terranova;
Territorio Antártico Británico;315-Territorio_Ant%C3%A1rtico_Brit%C3%A1nico;
Territorio Británico del Océano Índico;31-Territorio_Brit%C3%A1nico_del_Oc%C3%A9ano_%C3%8Dndico;
Tesino;2296-Tesino;
Thurgau;2295-Thurgau;
Tibet;353-Tibet;
Tierras Australes y Antárticas Francesas;77-Tierras_Australes_y_Ant%C3%A1rticas_Francesas;
Timor;363-Timor;
Timor Oriental;62-Timor_Oriental;
Tirol;2182-Tirol;
Tobago;316-Tobago;
Togo;212-Togo;
Tokelau;213-Tokelau;
Tonga;214-Tonga;
Tournai, Señorío de;2349-Tournai_Se%C3%B1or%C3%ADo_de;
Transilvania;346-Transilvania;
Transnistria;247-Transnistria;
Trautson;2205-Trautson;
Trinidad;336-Trinidad;
Trinidad y Tobago;215-Trinidad_y_Tobago;
Tristan da Cunha;373-Tristan_da_Cunha;
Troppau-Jaegerndorf;2207-Troppau-Jaegerndorf;
Túnez;216-T%C3%BAnez;
Türkiye (Turquía);217-T%C3%BCrkiye_Turqu%C3%ADa;
Turkmenistán;218-Turkmenist%C3%A1n;
Tuvalu;220-Tuvalu;
Ucrania;222-Ucrania;
Uganda;221-Uganda;
Umm al-Qaywayn;383-Umm_al-Qaywayn;
Unión Soviética, URSS;252-Uni%C3%B3n_Sovi%C3%A9tica_URSS;
Unterwalden;2297-Unterwalden;
Uri;2298-Uri;
Uruguay;227-Uruguay;
Utrecht, Señorío de;2348-Utrecht_Se%C3%B1or%C3%ADo_de;
Uzbekistán;228-Uzbekist%C3%A1n;
Vanuatu;229-Vanuatu;
Vaud;2299-Vaud;
Venezuela;230-Venezuela;
Venezuela, Barinas;2214-Venezuela_Barinas;
Venezuela, Caracas;2215-Venezuela_Caracas;
Venezuela, Colonias de Leprosos;2216-Venezuela_Colonias_de_Leprosos;
Venezuela, Guayana;2212-Venezuela_Guayana;
Venezuela, Maracaibo;2213-Venezuela_Maracaibo;
Venezuela, Margarita;2210-Venezuela_Margarita;
Venezuela, Tachira;2211-Venezuela_Tachira;
Victoria;746-Victoria;
Viena;2206-Viena;
Vietnam;231-Vietnam;
Vietnam (dinastías);308-Vietnam_dinast%C3%ADas;
Vietnam del Sur;266-Vietnam_del_Sur;
Vietnam, República Popular del Norte;401-Vietnam_Rep%C3%BAblica_Popular_del_Norte;
Windisch-Gratz;2208-Windisch-Gratz;
Yemen;236-Yemen;
Yemen, Protectorado de Adén;646-Yemen_Protectorado_de_Ad%C3%A9n;
Yemen, República;423-Yemen_Rep%C3%BAblica;
Yemen, República Árabe;419-Yemen_Rep%C3%BAblica_%C3%81rabe;
Yemen, República Democrática Popular;506-Yemen_Rep%C3%BAblica_Democr%C3%A1tica_Popular;
Yibuti;59-Yibuti;
Yugoslavia;257-Yugoslavia;
Zaire;284-Zaire;
Zambia;238-Zambia;
Zanzíbar;294-Zanz%C3%ADbar;
Zeeland, Condado de;2344-Zeeland_Condado_de;
Zimbabue;239-Zimbabue;
Zofingen;2300-Zofingen;
Zug;2301-Zug;
Zurich;2302-Zurich;
